M/C Brand,Production Date,M/C Dia & Gauge,Booking Type,Lot,Color,Color Range,stitch,Dia,GSM,SHIFT-A,SHIFT-B,SHIFT-C,Without Shift(Outbound),Shift Total,Machine Total,Reject Qty,Yarn_Count,Yarn_count_length,m/c_dia,m/c_gauge,fabric_dia_1,fabric_dia_2,contraction_1,contraction_2,contraction,number_of_feeders,yarn_count_1,yarn_count_tex_1,yarn_count_tex_2,yarn_count_tex_3,stitch_1,stitch_2,stitch_3,tightness_factor,composition,construction,body_part
Hangxing,26-06-2022  ,38 X 24,Other,"MS-L1811134034,NB-S2803",AVERAGE  ,Average Color  ,3.15/1.15  ,76,160,146.1,177.8,163.6,0,487.5,487.5,0,"34/1,20/D",2,38,24,76,76,2,2,2,76,34/1,17.37058824,2.222222222,,3.15,1.15,,1.323112307,Cotton,LS/J,Body
Hangxing,26-06-2022  ,34 X 24,Main,"NB-FEB-22-S-2813,SS-23/22",BROWN-02  ,Medium Color  ,3.20/1.10  ,72,180,0,0,13.2,0,13.2,311.1,0,"28/1,20/D",2,34,24,72,72,2.117647059,2.117647059,2.117647059,68,28/1,21.09285714,2.222222222,,3.2,1.1,,1.43521752,Cotton_Elastan,LS/J,other
Hangxing,26-06-2022  ,34 X 24,Main,"NB-FEB-22-S-2813,SS-23/22",BROWN-02  ,Medium Color  ,3.20/1.10  ,72,180,0,65.5,101.8,0,167.3,0,,"28/1,20/D",2,34,24,72,72,2.117647059,2.117647059,2.117647059,68,28/1,21.09285714,2.222222222,,3.2,1.1,,1.43521752,Cotton_Elastan,LS/J,Bottom
Hangxing,26-06-2022  ,34 X 24,Main,"NB-FEB-22-S-2813,SS-23/22",BROWN-02  ,Medium Color  ,3.20/1.10  ,72,180,0,12,0,0,12,0,,"28/1,20/D",2,34,24,72,72,2.117647059,2.117647059,2.117647059,68,28/1,21.09285714,2.222222222,,3.2,1.1,,1.43521752,Cotton_Elastan,LS/J,Rib
Hangxing,26-06-2022  ,34 X 24,Main,"GU-L1811140006,NB-S2803",09 BLACK  ,Black Color  ,3.10/1.10  ,68,150,89.6,29,0,0,118.6,0,,"40/1,20/D",2,34,24,68,68,2,2,2,68,40/1,14.765,2.222222222,,3.1,1.1,,1.239524262,Cotton_Elastan,LS/J,Body
Hangxing,26-06-2022  ,36 X 24,Main,"AU-1537AC,NB-S2803",AOP ON GRIS CHINE R204  ,Melange  ,3.15/1.15  ,72,160,0,21.3,11,0,32.3,32.3,0,"34/1,20/D",2,36,24,72,72,2,2,2,72,34/1,17.37058824,2.222222222,,3.15,1.15,,1.323112307,Cotton_Elastan,LS/J,Bottom
Hangxing,26-06-2022  ,36 X 24,Main,"AU-61,NB-S2803",GRIS CHINE R205 [SOLID]  ,Melange  ,3.15/1.15  ,72,160,63.5,50,45,0,158.5,158.5,0,"34/1,20/D",2,36,24,72,72,2,2,2,72,34/1,17.37058824,2.222222222,,3.15,1.15,,1.323112307,Cotton_Elastan,LS/J,Bottom
Hangxing,26-06-2022  ,38 X 24,Main,"GU-L1811140006,NB-S2803",BLACK  ,Average Color  ,3.00/1.00  ,76,155,120,95,123.6,0,338.6,338.6,0,"40/1,20/D",2,38,24,76,76,2,2,2,76,40/1,14.765,2.222222222,,3,1,,1.280841737,Cotton,LS/J,Body
Hangxing,26-06-2022  ,34 X 24,Main,AU-10385,GRIS CHINE R205  ,Melange  ,2.90  ,72,180,19,149.5,152.2,0,320.7,320.7,0,24/1,1,34,24,72,72,2.117647059,2.117647059,2.117647059,68,24/1,24.60833333,,,2.9,,,1.710578868,Cotton_Viscose,S/J,Bottom
Hangxing,26-06-2022  ,36 X 24,Main,MS-22/22,AOP ON BLACK  ,Black Color  ,2.88  ,74,140,0,124.4,105.9,0,230.3,242.51,0,32/1,1,36,24,74,74,2.055555556,2.055555556,2.055555556,72,32/1,18.45625,,,2.88,,,1.491692288,Cotton,S/J,Top
Hangxing,26-06-2022  ,36 X 24,Main,PU-D19223W,LIGHT GRAY HEATHER-01  ,Melange  ,2.78  ,72,140,0.01,12.2,0,0,12.21,0,,32/1,1,36,24,72,72,2,2,2,72,32/1,18.45625,,,2.78,,,1.545350284,Cotton_Polyester,S/J,Top
Hangxing,26-06-2022  ,34 X 24,Main,SC-984-F,"HEATHER CARDINAL, CHARCOAL HEATHER  ",Melange  ,2.85  ,72,140,0,0,10,0,10,336.2,0,32/1,1,34,24,72,72,2.117647059,2.117647059,2.117647059,68,32/1,18.45625,,,2.85,,,1.507394312,Cotton,S/J,Body
Hangxing,26-06-2022  ,34 X 24,Main,SC-206,"WILD RASBERRY, SAPPHIRE  ",Dark Color  ,2.85  ,72,140,87.1,117.1,122,0,326.2,0,,32/1,1,34,24,72,72,2.117647059,2.117647059,2.117647059,68,32/1,18.45625,,,2.85,,,1.507394312,Cotton,S/J,Body
Hangxing,26-06-2022  ,38 X 24,Main,"MS-0134,NB-S2803","AOP ON GRIS CHINE C R206, AOP ON GRIS CHINE C R207  ",Melange  ,2.95/1.00  ,72,160,17,25.5,0.01,0,42.51,42.51,3.4,"40/1,20/D",2,38,24,72,72,1.894736842,1.894736842,1.894736842,76,40/1,14.765,2.222222222,,2.95,1,,1.302550919,Cotton_Elastan,LS/J,Bottom
Hangxing,26-06-2022  ,34 X 18,Main,"NB-S2803,TOR-18,TOR-SD020",GREY MARLE 85  ,Melange  ,17.00/15.00/0.7  ,60,320,22.4,21,22,0,65.4,65.4,0,"34/1,20/D,50D/36F",3,34,18,60,60,1.764705882,1.764705882,1.764705882,68,34/1,17.37058824,2.222222222,5.555555556,17,15,0.7,0.245164927,Cotton_Polyester,Interlock,Body
Hangxing,26-06-2022  ,34 X 18,Main,"NB-S2803,TOR-18,TOR-SD002,TOR-SD020",GREY MARLE 85  ,Melange  ,17.00/15.00/0.7  ,60,320,21.2,15.5,19,0,55.7,55.7,0,"34/1,20/D,50D/36F",3,34,18,60,60,1.764705882,1.764705882,1.764705882,68,34/1,17.37058824,2.222222222,5.555555556,17,15,0.7,0.245164927,Cotton_Polyester,Interlock,Body
Hangxing,26-06-2022  ,34 X 18,Main,"NB-S2803,TOR-568,TOR-SD019",BLACK MARLE 3442  ,Melange  ,17.00/15.00/0.7  ,60,320,20,21,25.2,0,66.2,66.2,0,"34/1,20/D,50D/36F",3,34,18,60,60,1.764705882,1.764705882,1.764705882,68,34/1,17.37058824,2.222222222,5.555555556,17,15,0.7,0.245164927,Cotton_Polyester,Interlock,Body
Hangxing,26-06-2022  ,34 X 18,Main,"NB-S2803,TOR-18,TOR-SD002,TOR-SD020",GREY MARLE 85  ,Melange  ,17.00/15.00/0.7  ,60,320,0,0,5,0,5,5,0,"34/1,20/D,50D/36F",3,34,18,60,60,1.764705882,1.764705882,1.764705882,68,34/1,17.37058824,2.222222222,5.555555556,17,15,0.7,0.245164927,Cotton_Polyester,Interlock,Body
Hangxing,26-06-2022  ,32 X 24,Other,GU-1038,GREY  ,Melange  ,2.95  ,68,140,78.5,101,114,0,293.5,293.5,0,30/1,1,32,24,68,68,2.125,2.125,2.125,64,30/1,19.68666667,,,2.95,,,1.504056248,Cotton_Viscose,S/J,Body
Hangxing,26-06-2022  ,36 X 24,Main,SC-2305,"ATHLETIC GREY, ATHLETIC GREY/  ",Melange  ,2.85  ,72,140,0,14,110,0,124,124,0,32/1,1,36,24,72,72,2,2,2,72,32/1,18.45625,,,2.85,,,1.507394312,Cotton_Viscose,S/J,Body
Hangxing,26-06-2022  ,34 X 24,Main,PU-27717019,"GREEN MOSS-01, CLEMENTINE-01, ROSE DUST-01, DESERT CLAY-01, ADRIATIC-01, VIVID VIOLET-01, ROYAL SAPPHIRE-01, MUSTARD SEED-01  ",Medium Color  ,2.88  ,72,160,221.6,194.3,179.5,0,595.4,595.4,0,27/1,1,34,24,72,72,2.117647059,2.117647059,2.117647059,68,27/1,21.87407407,,,2.88,,,1.62394887,Cotton,S/J,Top
Hangxing,26-06-2022  ,36 X 24,Main,MS-13283172,AOP ON BLACK  ,Black Color  ,2.88  ,74,140,156.9,154.6,126.5,0,438,438,0,32/1,1,36,24,74,74,2.055555556,2.055555556,2.055555556,72,32/1,18.45625,,,2.88,,,1.491692288,Cotton,S/J,Bottom
Fukuhara,27-06-2022  ,52 X 14,Main,PU-24454,CASUAL NEW OLIVE - 00625  ,Average Color  ,4.75  ,52,700,0,0,22.9,0,22.9,174.6,0,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,27-06-2022  ,52 X 14,Main,PU-24454,CASUAL NEW OLIVE - 00625  ,Average Color  ,4.75  ,52,700,0,0,27.8,0,27.8,0,,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,27-06-2022  ,52 X 14,Main,MGF-18,LT HTR GREY - 00097  ,Wash  ,4.75  ,52,700,0,0,11.9,0,11.9,0,,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,27-06-2022  ,52 X 14,Main,MGF-18,LT HTR GREY - 00097  ,Wash  ,4.75  ,52,700,0,0,3.9,0,3.9,0,,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,27-06-2022  ,52 X 14,Main,PU-24454,PECAN 00552  ,Average Color  ,4.75  ,52,700,0,0,10.3,0,10.3,0,,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,27-06-2022  ,52 X 14,Main,FB-246208014,ROSE BLUSH - 00317  ,Average Color  ,4.75  ,52,700,0,0,57.4,0,57.4,0,,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,27-06-2022  ,52 X 14,Main,FB-246208014,ROSE BLUSH - 00317  ,Average Color  ,4.75  ,52,700,0,0,21.4,0,21.4,0,,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,27-06-2022  ,52 X 14,Short,PU-NB61507,PUMA WHITE-01  ,White Color  ,4.40  ,52,650,0,0,19,0,19,0,,150D/144F,1,52,14,52,52,1,1,1,156,150D/144F,1.666666667,,,4.4,,,0.293407829,Cotton_Polyester,Rib,Rib
Fukuhara,27-06-2022  ,32 X 24,Other,GU-L1811132021,BLACK  ,Black Color  ,2.90  ,66,140,180,189.8,192.4,0,562.2,562.2,0,32/1,1,32,24,66,66,2.0625,2.0625,2.0625,102,32/1,18.45625,,,2.9,,,1.481404755,Cotton,S/J,Body
Fukuhara,27-06-2022  ,32 X 24,Other,GU-L1811132021,BLACK  ,Black Color  ,2.90  ,66,140,190.2,188.9,197.9,0,577,577,0,32/1,1,32,24,66,66,2.0625,2.0625,2.0625,102,32/1,18.45625,,,2.9,,,1.481404755,Cotton,S/J,Body
Fukuhara,27-06-2022  ,32 X 24,Other,GU-L1811132021,BLACK  ,Black Color  ,2.90  ,66,140,188.6,186.1,187.1,0,561.8,561.8,0,32/1,1,32,24,66,66,2.0625,2.0625,2.0625,102,32/1,18.45625,,,2.9,,,1.481404755,Cotton,S/J,Body
Fukuhara,27-06-2022  ,32 X 24,Main,PU-27717018,PUMA BLACK- COLORO - 01  ,Black Color  ,3.06  ,70,160,239.7,238.9,239,0,717.6,717.6,0,27/1,1,32,24,70,70,2.1875,2.1875,2.1875,102,27/1,21.87407407,,,3.06,,,1.528422466,Cotton,S/J,Top
Fukuhara,27-06-2022  ,34 X 24,Main,"EF-491,NB-JAN-22-Z3203",265 ROSE/14-1513 TCX BLOSSOM  ,Light Color  ,3.15/1.00  ,70,200,109.4,129,106.9,0,345.3,345.3,0,"28/1,30/D",2,34,24,70,70,2.058823529,2.058823529,2.058823529,108,28/1,21.09285714,3.333333333,,3.15,1,,1.457998751,Cotton,LS/J,Body
Fukuhara,27-06-2022  ,30 X 24,Main,EF-117,OCEAN WAVE 14-5711 TCX OCEAN WAVE  ,Light Color  ,2.84  ,62,180,62,0,0,0,62,453,0,24/1,1,30,24,62,62,2.066666667,2.066666667,2.066666667,96,24/1,24.60833333,,,2.84,,,1.746717858,Cotton,S/J,Body
Fukuhara,27-06-2022  ,30 X 24,Other,TC-457P,WHITE AOP  ,Average Color  ,3.15  ,68,175,72.6,163,155.4,0,391,0,,24/1,1,30,24,68,68,2.266666667,2.266666667,2.266666667,96,24/1,24.60833333,,,3.15,,,1.57481864,Cotton,S/J,Body
Lisky,27-06-2022  ,30 X 20,Main,"SS-1485L,SS-4160,SS-MM30759",GREY MARL-03  ,Melange  ,4.6/3.25/2.00  ,68,320,50.1,38.8,0.01,0,88.91,88.91,0,"28/1,12/1,75D/36F",3,30,20,68,68,2.266666667,2.266666667,2.266666667,60,28/1,21.09285714,49.21666667,8.333333333,4.6,3.25,2,0.998412188,Cotton_Polyester,Fleece_terry,Body
Lisky,27-06-2022  ,30 X 20,Main,LR-55/05,DARK BLUE [19-4020 TCX]  ,Dark Color  ,3.45/3.55  ,64,240,34.9,37,35.3,0,107.2,107.2,0,30/1,1,30,20,64,64,2.133333333,2.133333333,2.133333333,60,30/1,19.68666667,,,3.45,3.55,,1.286077081,Cotton,S/J,Top
Lisky,27-06-2022  ,30 X 20,Main,"SS-1485L,SS-23/22,SS-MM30759",BROWN-02  ,Medium Color  ,4.60/3.25/2.00  ,68,320,85.4,105.5,4.6,0,195.5,195.5,4.5,"28/1,12/1,75D/36F",3,30,20,68,68,2.266666667,2.266666667,2.266666667,60,28/1,21.09285714,49.21666667,8.333333333,4.6,3.25,2,0.998412188,Cotton_Polyester,Fleece_terry,Bottom
Lisky,27-06-2022  ,30 X 20,Main,"SS-1485L,SS-4160,SS-MM30759",GREY MARL-03  ,Melange  ,4.6/3.25/2.00  ,68,320,0,0,22.1,0,22.1,22.1,0,"28/1,12/1,75D/36F",3,30,20,68,68,2.266666667,2.266666667,2.266666667,60,28/1,21.09285714,49.21666667,8.333333333,4.6,3.25,2,0.998412188,Cotton_Polyester,Fleece_terry,Body
Lisky,27-06-2022  ,30 X 20,Main,"SS-1485L,SS-23/22,SS-MM30759",BROWN-02  ,Medium Color  ,4.60/3.25/2.00  ,68,320,0,10.9,6.5,0,17.4,17.41,18.3,"28/1,12/1,75D/36F",3,30,20,68,68,2.266666667,2.266666667,2.266666667,60,28/1,21.09285714,49.21666667,8.333333333,4.6,3.25,2,0.998412188,Cotton_Polyester,Fleece_terry,Body
Lisky,27-06-2022  ,30 X 20,Main,LR-55/05,DARK BLUE [19-4020 TCX]  ,Dark Color  ,3.45/3.55  ,64,240,0.01,0,0,0,0.01,0,,30/1,1,30,20,64,64,2.133333333,2.133333333,2.133333333,60,30/1,19.68666667,,,3.45,3.55,,1.286077081,Cotton,S/J,Top
Lisky,27-06-2022  ,30 X 20,Main,"SS-1485L,SS-23/22,SS-MM30759",BROWN-02  ,Medium Color  ,4.60/3.25/2.00  ,68,320,0,38.4,0,0,38.4,103.8,0,"28/1,12/1,75D/36F",3,30,20,68,68,2.266666667,2.266666667,2.266666667,60,28/1,21.09285714,49.21666667,8.333333333,4.6,3.25,2,0.998412188,Cotton_Polyester,Fleece_terry,Top
Lisky,27-06-2022  ,30 X 20,Other,"PU-2006/1,PU-495,PU-R290/MZ40",BLACK  ,Black Color  ,4.60/3.28/1.65  ,72,280,55.4,10,0,0,65.4,10,,"32/1,10/1,75D/36F",3,30,20,72,72,2.4,2.4,2.4,60,32/1,18.45625,59.06,8.333333333,4.6,3.28,1.65,0.933929085,Cotton_Polyester,Fleece_terry,Top
Fukuhara,27-06-2022  ,30 X 24,Main,TC-457PH,STARGAZER PANTONE 19-4316 TCX  ,Dark Color  ,2.90/1.38  ,66,240,119.2,117.3,96.9,0,333.4,333.4,0,24/1,1,30,24,66,66,2.2,2.2,2.2,90,24/1,24.60833333,,,2.9,1.38,,1.710578868,Cotton_Polyester,Fleece_terry,Bottom
Fukuhara,27-06-2022  ,30 X 24,Main,TC-457P,STARGAZER PANTONE 19-4316 TCX  ,Dark Color  ,2.90/1.38  ,66,240,116.9,125.1,109,0,351,351,0,24/1,1,30,24,66,66,2.2,2.2,2.2,90,24/1,24.60833333,,,2.9,1.38,,1.710578868,Cotton_Polyester,Fleece_terry,Bottom
Fukuhara,27-06-2022  ,30 X 24,Main,TC-457PH,STARGAZER PANTONE 19-4316 TCX  ,Dark Color  ,2.90/1.38  ,66,240,125.7,129.8,124.2,0,379.7,379.7,0,24/1,1,30,24,66,66,2.2,2.2,2.2,90,24/1,24.60833333,,,2.9,1.38,,1.710578868,Cotton_Polyester,Fleece_terry,Bottom
